,PLAYER,POS,FPTS,VOR,VALUE_RANK
91,Christian Kirk,WR,181.9,0.0,111.5
215,Tucker McCann,K,99.0,-1.0,114.0
135,Noah Fant,TE,142.7,-1.8000000000000114,115.0
220,Graham Gano,K,97.9,-2.0999999999999943,116.0
221,Matt Gay,K,97.8,-2.200000000000003,117.0
92,Will Fuller,WR,179.6,-2.3000000000000114,118.0
222,Dustin Hopkins,K,97.2,-2.799999999999997,119.0
225,Sam Ficken,K,96.0,-4.0,120.0
140,Rob Gronkowski,TE,139.4,-5.099999999999994,121.0
20,Cam Newton,QB,269.3,-5.199999999999989,122.0
95,Brandin Cooks,WR,176.1,-5.800000000000011,123.0
229,Eddy Pineiro,K,93.5,-6.5,124.0
111,Raheem Mostert,RB,160.29999999999995,-6.600000000000051,125.0
112,Cam Akers,RB,159.4,-7.5,126.0
115,David Montgomery,RB,158.6,-8.300000000000011,127.0
97,Preston Williams,WR,173.2,-8.700000000000017,128.0
116,D'Andre Swift,RB,157.10000000000005,-9.799999999999955,129.0
240,Sam Sloman,K,88.9,-11.099999999999994,130.0
149,Chris Herndon IV,TE,132.4,-12.099999999999994,131.0
150,Dallas Goedert,TE,132.3,-12.199999999999989,132.0
151,T.J. Hockenson,TE,132.2,-12.300000000000011,133.0
101,Golden Tate,WR,169.3,-12.599999999999994,134.0
23,Jared Goff,QB,260.7,-13.800000000000011,135.0
155,Jonnu Smith,TE,130.10000000000002,-14.399999999999977,136.0
24,Matthew Stafford,QB,259.3,-15.199999999999989,137.0
26,Ryan Tannehill,QB,258.2,-16.30000000000001,138.0
104,John Brown,WR,165.5,-16.400000000000006,139.0
105,DeSean Jackson,WR,165.4,-16.5,140.0
106,Deebo Samuel,WR,164.9,-17.0,141.0
120,Kerryon Johnson,RB,149.6,-17.30000000000001,142.0
161,Jack Doyle,TE,126.6,-17.900000000000006,143.0
107,Anthony Miller,WR,163.89999999999995,-18.000000000000057,144.0
124,Leonard Fournette,RB,147.9,-19.0,145.0
108,Henry Ruggs III,WR,162.4,-19.5,146.0
247,Nick Folk,K,80.3,-19.700000000000003,147.0
164,Ian Thomas,TE,124.6,-19.900000000000006,148.0
167,Blake Jarwin,TE,123.8,-20.700000000000003,149.0
28,Daniel Jones,QB,253.1,-21.400000000000006,150.0
128,Ronald Jones II,RB,145.2,-21.700000000000017,151.0
129,Phillip Lindsay,RB,144.7,-22.200000000000017,152.0
31,Baker Mayfield,QB,251.9,-22.599999999999994,153.0
171,Eric Ebron,TE,121.7,-22.799999999999997,154.0
113,CeeDee Lamb,WR,159.0,-22.900000000000006,155.0
32,Gardner Minshew II,QB,251.3,-23.19999999999999,156.0
114,Darius Slayton,WR,158.7,-23.200000000000017,157.0
117,Emmanuel Sanders,WR,157.0,-24.900000000000006,158.0
138,Ryquell Armstead,RB,140.5,-26.400000000000006,159.0
118,Sammy Watkins,WR,154.2,-27.700000000000017,160.0
142,Matt Breida,RB,139.0,-27.900000000000006,161.0
35,Ben Roethlisberger,QB,246.5,-28.0,162.0
36,Jimmy Garoppolo,QB,246.1,-28.400000000000006,163.0
145,Marlon Mack,RB,137.6,-29.30000000000001,164.0
38,Kirk Cousins,QB,245.1,-29.400000000000006,165.0
39,Joe Burrow,QB,244.0,-30.5,166.0
119,Breshad Perriman,WR,151.10000000000005,-30.799999999999955,167.0
148,Duke Johnson,RB,134.5,-32.400000000000006,168.0
121,Mike Williams,WR,148.7,-33.20000000000002,169.0
123,Jerry Jeudy,WR,147.9,-34.0,170.0
274,Justin Rohrwasser,K,64.8,-35.2,171.5
196,Greg Olsen,TE,109.3,-35.2,171.5
44,Teddy Bridgewater,QB,239.2,-35.30000000000001,173.0
125,Robby Anderson,WR,146.39999999999995,-35.50000000000006,174.0
199,Kyle Rudolph,TE,107.7,-36.8,175.0
131,Cole Beasley,WR,144.4,-37.5,176.0
157,Antonio Gibson,RB,129.3,-37.599999999999994,177.0
132,Justin Jefferson,WR,143.9,-38.0,178.0
133,Allen Lazard,WR,143.7,-38.20000000000002,179.0
158,Jordan Howard,RB,128.4,-38.5,180.0
134,Danny Amendola,WR,143.3,-38.599999999999994,181.0
47,Drew Lock,QB,235.5,-39.0,182.0
137,Hunter Renfrow,WR,141.1,-40.80000000000001,183.0
139,Jalen Reagor,WR,140.2,-41.70000000000002,184.0
51,Philip Rivers,QB,232.3,-42.19999999999999,185.0
141,Curtis Samuel,WR,139.3,-42.599999999999994,186.0
143,N'Keal Harry,WR,138.9,-43.0,187.0
169,Chris Thompson,RB,122.7,-44.2,188.0
