,PLAYER,POS,FPTS,VOR,VALUE_RANK
430,Khadarel Hodge,WR,20.8,-161.1,493.0
432,Chad Beebe,WR,20.7,-161.20000000000002,494.0
435,Darrius Shepherd,WR,20.200000000000006,-161.7,495.0
436,Cedrick Wilson,WR,20.1,-161.8,496.0
438,Justin Watson,WR,20.0,-161.9,497.5
437,Marcus Johnson,WR,20.0,-161.9,497.5
579,John Kelly,RB,4.7,-162.20000000000002,499.0
584,Jakob Johnson,RB,4.6,-162.3,500.0
586,Dwayne Washington,RB,4.5,-162.4,502.0
439,DeAndre Carter,WR,19.5,-162.4,502.0
440,Braxton Berrios,WR,19.5,-162.4,502.0
587,Senorise Perry,RB,4.4,-162.5,504.0
589,Dexter Williams,RB,4.2,-162.70000000000002,505.0
590,Trey Edmunds,RB,4.1,-162.8,506.0
442,Malik Turner,WR,19.0,-162.9,507.0
596,Samaje Perine,RB,3.9,-163.0,508.0
444,Corey Coleman,WR,18.5,-163.4,509.0
446,Jason Moore,WR,18.2,-163.70000000000002,510.0
448,Dante Pettis,WR,18.0,-163.9,511.5
606,Michael Burton,RB,3.0,-163.9,511.5
608,Josh Adams,RB,2.9,-164.0,513.0
449,Cody Core,WR,17.799999999999994,-164.10000000000002,514.0
450,Donte Moncrief,WR,17.7,-164.20000000000002,515.0
453,Alex Erickson,WR,17.6,-164.3,516.0
454,Dezmon Patmon,WR,17.4,-164.5,517.0
613,Cullen Gillaspia,RB,2.3,-164.6,518.0
456,Josh Malone,WR,17.2,-164.70000000000002,519.0
616,D.J. Foster,RB,2.1,-164.8,520.0
617,Elijah McGuire,RB,2.0,-164.9,521.0
618,Trenton Cannon,RB,1.9,-165.0,522.0
460,Byron Pringle,WR,16.4,-165.5,523.0
625,Damarea Crockett,RB,1.1,-165.8,524.0
468,Deonte Harris,WR,15.5,-166.4,525.0
471,Gary Jennings Jr.,WR,15.0,-166.9,526.0
472,Robert Foster,WR,14.7,-167.20000000000002,527.0
475,K.J. Osborn,WR,14.3,-167.6,528.0
476,Cody Hollister,WR,14.1,-167.8,529.0
483,Trent Sherfield,WR,13.5,-168.4,530.0
484,Chris Lacy,WR,13.4,-168.5,531.0
486,Rashard Davis,WR,13.2,-168.70000000000002,532.0
489,Quintez Cephus,WR,13.0,-168.9,533.0
496,Devin Gray,WR,11.8,-170.1,534.0
501,Marcell Ateman,WR,11.2,-170.70000000000002,535.0
505,Alexander Hollins,WR,11.0,-170.9,536.0
507,Daurice Fountain,WR,10.9,-171.0,537.0
509,Amara Darboh,WR,10.8,-171.1,538.0
510,Darius Jennings,WR,10.7,-171.20000000000002,539.0
512,Andy Jones,WR,10.6,-171.3,540.0
514,Chris Moore,WR,10.5,-171.4,541.0
520,Tevin Jones,WR,10.1,-171.8,542.0
521,Brandon Powell,WR,10.0,-171.9,543.5
522,Gehrig Dieter,WR,10.0,-171.9,543.5
524,Deon Cain,WR,9.9,-172.0,546.5
523,Austin Carr,WR,9.9,-172.0,546.5
525,Hakeem Butler,WR,9.9,-172.0,546.5
526,Isaac Whitney,WR,9.9,-172.0,546.5
527,Kevin White,WR,9.8,-172.1,549.0
529,Keith Kirkwood,WR,9.7,-172.20000000000002,550.5
528,Michael Walker,WR,9.7,-172.20000000000002,550.5
532,Chad Hansen,WR,9.5,-172.4,552.0
533,Diontae Spencer,WR,9.4,-172.5,553.0
537,Jeff Smith,WR,9.1,-172.8,554.0
539,Damion Ratley,WR,9.0,-172.9,555.0
541,Steven Mitchell Jr.,WR,8.9,-173.0,556.0
544,C.J. Board,WR,8.8,-173.1,557.5
543,Nsimba Webster,WR,8.8,-173.1,557.5
545,Robert Davis,WR,8.7,-173.20000000000002,559.0
548,Ashton Dulin,WR,8.5,-173.4,560.0
551,Fred Brown,WR,8.100000000000001,-173.8,561.0
554,Olamide Zaccheaus,WR,7.9,-174.0,562.0
558,Isaiah Hodgins,WR,7.1,-174.8,563.0
565,Brandon Zylstra,WR,6.1,-175.8,564.0
570,Jauan Jennings,WR,5.4,-176.5,565.0
571,Keelan Doss,WR,5.1,-176.8,566.0
574,Jehu Chesson,WR,5.0,-176.9,567.0
578,Mike Thomas,WR,4.8,-177.1,568.0
580,Stanley Morgan Jr.,WR,4.7,-177.20000000000002,569.0
583,Matt Slater,WR,4.6,-177.3,570.5
581,Tyron Johnson,WR,4.6,-177.3,570.5
585,Cam Sims,WR,4.5,-177.4,572.0
588,De'Mornay Pierson-El,WR,4.3,-177.6,573.0
593,Rico Gafford,WR,4.0,-177.9,574.5
594,Lil'Jordan Humphrey,WR,4.0,-177.9,574.5
595,Marcus Kemp,WR,3.9,-178.0,576.0
598,Josh Bellamy,WR,3.8,-178.1,577.5
599,Andre Patton,WR,3.8,-178.1,577.5
600,DeAndrew White,WR,3.7,-178.20000000000002,579.0
601,Jaleel Scott,WR,3.6,-178.3,580.0
605,Ventell Bryant,WR,3.0,-178.9,581.0
611,JoJo Natson,WR,2.8,-179.1,582.0
614,Chris Thompson,WR,2.3,-179.6,583.0
615,Ishmael Hyman,WR,2.2,-179.70000000000002,584.0
620,Spencer Schnell,WR,1.7000000000000002,-180.20000000000002,585.0
621,Krishawn Hogan,WR,1.6,-180.3,586.0
623,John Ursua,WR,1.5,-180.4,587.5
622,Cyril Grayson,WR,1.5,-180.4,587.5
633,Vyncint Smith,WR,0.0,-181.9,589.0
284,Justin Herbert,QB,59.7,-214.8,590.0
348,Jalen Hurts,QB,35.9,-238.6,591.0
379,Alex Smith,QB,29.3,-245.2,592.0
390,Marcus Mariota,QB,26.8,-247.7,593.0
397,Taysom Hill,QB,26.0,-248.5,594.0
402,John Wolford,QB,25.5,-249.0,595.0
412,Phillip Walker,QB,24.4,-250.1,596.0
473,Jameis Winston,QB,14.6,-259.9,597.0
477,Logan Woodside,QB,14.1,-260.4,598.0
479,Mason Rudolph,QB,13.8,-260.7,599.0
494,Jacoby Brissett,QB,11.9,-262.6,600.0
497,Jeff Driskel,QB,11.6,-262.9,601.0
499,Jordan Love,QB,11.3,-263.2,602.0
503,Blaine Gabbert,QB,11.1,-263.4,603.0
508,Jarrett Stidham,QB,10.8,-263.7,604.0
513,Andy Dalton,QB,10.5,-264.0,605.0
515,Will Grier,QB,10.4,-264.1,606.0
517,AJ McCarron,QB,10.3,-264.2,607.0
518,Chase Daniel,QB,10.2,-264.3,608.0
535,Kyle Allen,QB,9.1,-265.4,609.0
553,Geno Smith,QB,8.1,-266.4,610.0
555,Colt McCoy,QB,7.7,-266.8,611.0
557,Ryan Finley,QB,7.6,-266.9,612.5
556,Joshua Dobbs,QB,7.6,-266.9,612.5
559,Case Keenum,QB,7.0,-267.5,614.0
561,Robert Griffin,QB,6.7,-267.8,615.0
564,Sean Mannion,QB,6.2,-268.3,616.0
567,Brett Hundley,QB,5.8,-268.7,617.0
569,Matt Barkley,QB,5.5,-269.0,618.0
575,Matt Schaub,QB,5.0,-269.5,619.5
573,David Blough,QB,5.0,-269.5,619.5
576,Brian Hoyer,QB,4.8,-269.7,621.5
577,Chad Henne,QB,4.8,-269.7,621.5
582,Nick Mullens,QB,4.6,-269.9,623.0
592,Joe Flacco,QB,4.1,-270.4,624.5
591,Trevor Siemian,QB,4.1,-270.4,624.5
604,Mike Glennon,QB,3.2,-271.3,626.0
610,Jacob Eason,QB,2.8,-271.7,627.0
624,Jake Fromm,QB,1.2,-273.3,628.0
626,David Fales,QB,0.1,-274.4,629.0
627,Ryan Griffin,QB,0.0,-274.5,637.5
637,Nate Sudfeld,QB,0.0,-274.5,637.5
643,Tim Boyle,QB,0.0,-274.5,637.5
642,Tommy Stevens,QB,0.0,-274.5,637.5
641,Garrett Gilbert,QB,0.0,-274.5,637.5
640,Trace McSorley,QB,0.0,-274.5,637.5
639,Paxton Lynch,QB,0.0,-274.5,637.5
638,Devlin Hodges,QB,0.0,-274.5,637.5
636,Chad Kelly,QB,0.0,-274.5,637.5
628,Kyle Lauletta,QB,0.0,-274.5,637.5
635,C.J. Beathard,QB,0.0,-274.5,637.5
634,Matt Moore,QB,0.0,-274.5,637.5
631,Cooper Rush,QB,0.0,-274.5,637.5
630,Josh Rosen,QB,0.0,-274.5,637.5
629,Tyler Bray,QB,0.0,-274.5,637.5
632,Alex Tanney,QB,0.0,-274.5,637.5
